strain	virus	gisaid_epi_isl	date	region	country	division	pangolin_lineage
hCoV-19/France/un-HMN-21022180360/2021	betacoronavirus	EPI_ISL_1085370	2021-02-15	Europe	France	NA	A
hCoV-19/France/un-HMN-21022170331/2021	betacoronavirus	EPI_ISL_1085398	2021-02-17	Europe	France	NA	A.21
hCoV-19/USA/NH-CDC-QDX21490800/2021	betacoronavirus	EPI_ISL_1087097	2021-01-26	North America	USA	New Hampshire	A.23.1
hCoV-19/Netherlands/GE-RIVM-13739/2021	betacoronavirus	EPI_ISL_1089439	2021-02-08	Europe	Netherlands	Gelderland	A
hCoV-19/SouthAfrica/KRISP-K008366/2021	betacoronavirus	EPI_ISL_1085999	2021-01-11	Africa	South Africa	Eastern Cape	A.23.1
hCoV-19/France/un-HMN-21022080596/2021	betacoronavirus	EPI_ISL_1085657	2021-02-05	Europe	France	NA	A.21
hCoV-19/France/un-HMN-21022010594/2021	betacoronavirus	EPI_ISL_1085610	2021-02-01	Europe	France	NA	A.27
hCoV-19/USA/MA-CDC-STM-000011249/2021	betacoronavirus	EPI_ISL_1088894	2021-02-07	North America	USA	Massachusetts	A.2.5.2
hCoV-19/France/un-HMN-21022100341/2021	betacoronavirus	EPI_ISL_1085790	2021-02-09	Europe	France	NA	A.21
hCoV-19/France/un-HMN-21022110269/2021	betacoronavirus	EPI_ISL_1085735	2021-02-11	Europe	France	NA	A.21
hCoV-19/France/un-HMN-21022140013/2021	betacoronavirus	EPI_ISL_1085707	2021-02-14	Europe	France	NA	A.21
hCoV-19/Netherlands/NH-RIVM-13336/2021	betacoronavirus	EPI_ISL_1089808	2021-02-06	Europe	Netherlands	Noord-Holland	A.23.1
hCoV-19/USA/FL-CDC-QDX21868785/2021	betacoronavirus	EPI_ISL_1090855	2021-02-08	North America	USA	Florida	A.2.5
hCoV-19/Netherlands/UT-RIVM-13335/2021	betacoronavirus	EPI_ISL_1090035	2021-02-09	Europe	Netherlands	Utrecht	A
hCoV-19/Belgium/rega-3206/2021	betacoronavirus	EPI_ISL_1094192	2021-01-30	Europe	Belgium	Jurbise	A.27
hCoV-19/USA/MD-HP02516/2021	betacoronavirus	EPI_ISL_1091952	2021-02-15	North America	USA	Maryland	A.2.5
hCoV-19/USA/OH-USAFSAM-S0739/2021	betacoronavirus	EPI_ISL_1091775	2021-02-10	North America	USA	Ohio	A.21
hCoV-19/Netherlands/GE-RIVM-13589/2021	betacoronavirus	EPI_ISL_1090131	2021-02-10	Europe	Netherlands	Gelderland	A
hCoV-19/Belgium/rega-3398/2021	betacoronavirus	EPI_ISL_1093266	2021-02-16	Europe	Belgium	Genk	A.23.1
hCoV-19/USA/NV-CDC-QDX21954528/2021	betacoronavirus	EPI_ISL_1090289	2021-02-10	North America	USA	Nevada	A.21
hCoV-19/Italy/CAM-AMES-12-40/2021	betacoronavirus	EPI_ISL_1096934	2021-02-19	Europe	Italy	Campania	A.2.5.2
hCoV-19/Italy/CAM-AMES-10-84/2021	betacoronavirus	EPI_ISL_1096901	2021-02-20	Europe	Italy	Campania	A.2.5.2
hCoV-19/England/RAND-12DFD68/2021	betacoronavirus	EPI_ISL_1099865	2021-02-10	Europe	United Kingdom	England	A.23.1
hCoV-19/Italy/CAM-AMES-9-74/2021	betacoronavirus	EPI_ISL_1096762	2021-02-21	Europe	Italy	Campania	A.2.5.2
hCoV-19/Italy/CAM-AMES-11-86/2021	betacoronavirus	EPI_ISL_1096812	2021-02-19	Europe	Italy	Campania	A.2.5.2
hCoV-19/Italy/CAM-AMES-9-75/2021	betacoronavirus	EPI_ISL_1096886	2021-02-21	Europe	Italy	Campania	A.2.5.2
hCoV-19/France/PAC-IHUCOVID-3234/2021	betacoronavirus	EPI_ISL_1097023	2021-01-21	Europe	France	Provence-Alpes-Cote d'Azur	A.27
hCoV-19/France/PAC-IHUCOVID-3151/2021	betacoronavirus	EPI_ISL_1097024	2021-01-25	Europe	France	Provence-Alpes-Cote d'Azur	A.27
hCoV-19/USA/NY-PRL-2021_02_17_01I12/2021	betacoronavirus	EPI_ISL_1097814	2021-02-16	North America	USA	New York	A.2.5
hCoV-19/USA/NY-PRL-2021_02_25_00A01/2021	betacoronavirus	EPI_ISL_1098486	2021-02-20	North America	USA	New York	A.2.5
hCoV-19/USA/NY-PRL-2021_02_25_00B04/2021	betacoronavirus	EPI_ISL_1098498	2021-02-22	North America	USA	New York	A.2.5
hCoV-19/USA/NY-PRL-2021_02_25_00B01/2021	betacoronavirus	EPI_ISL_1098496	2021-02-22	North America	USA	New York	A.2.5
hCoV-19/Italy/CAM-AMES-14-76/2021	betacoronavirus	EPI_ISL_1096365	2021-02-18	Europe	Italy	Campania	A.2.5.2
hCoV-19/USA/NY-PRL-2021_02_19_01L10/2021	betacoronavirus	EPI_ISL_1098174	2021-02-17	North America	USA	New York	A.2.5
hCoV-19/France/HDF-IPP03723/2021	betacoronavirus	EPI_ISL_1096309	2021-02-15	Europe	France	Hauts-de-France	A.21
hCoV-19/Italy/CAM-AMES-16-70/2021	betacoronavirus	EPI_ISL_1096477	2021-02-23	Europe	Italy	Campania	A.2.5.2
hCoV-19/USA/NY-PRL-2021_02_22_00E20/2021	betacoronavirus	EPI_ISL_1098299	2021-02-19	North America	USA	New York	A.2.5
hCoV-19/Turkey/HSGM-6674/2021	betacoronavirus	EPI_ISL_1278199	2021-02-26	Europe	Turkey	NA	A.28
hCoV-19/France/IDF-HMN-21022010332/2021	betacoronavirus	EPI_ISL_1110156	2021-02-01	Europe	France	Île-de-France	A.27
hCoV-19/France/IDF-HMN-21022120468/2021	betacoronavirus	EPI_ISL_1110173	2021-02-12	Europe	France	Île-de-France	A.27
hCoV-19/France/IDF-HMN-21022150491/2021	betacoronavirus	EPI_ISL_1110178	2021-02-15	Europe	France	Île-de-France	A.27
hCoV-19/France/IDF-HMN-21022150436/2021	betacoronavirus	EPI_ISL_1110170	2021-02-09	Europe	France	Île-de-France	A.27
hCoV-19/France/IDF-HMN-21022160243/2021	betacoronavirus	EPI_ISL_1110181	2021-02-10	Europe	France	Île-de-France	A.27
hCoV-19/France/IDF-HMN-21022180551/2021	betacoronavirus	EPI_ISL_1110198	2021-02-10	Europe	France	Île-de-France	A.27
hCoV-19/France/IDF-HMN-21022180542/2021	betacoronavirus	EPI_ISL_1110195	2021-02-10	Europe	France	Île-de-France	A.27
hCoV-19/France/IDF-HMN-21022180543/2021	betacoronavirus	EPI_ISL_1110196	2021-02-11	Europe	France	Île-de-France	A.27
hCoV-19/France/IDF-HMN-21022180538/2021	betacoronavirus	EPI_ISL_1110194	2021-02-15	Europe	France	Île-de-France	A.27
hCoV-19/England/LOND-132991F/2021	betacoronavirus	EPI_ISL_1105156	2021-01-31	Europe	United Kingdom	England	A.23.1
hCoV-19/France/IDF-HMN-21022190457/2021	betacoronavirus	EPI_ISL_1110203	2021-02-19	Europe	France	Île-de-France	A.27
hCoV-19/France/IDF-HMN-21022180546/2021	betacoronavirus	EPI_ISL_1110197	2021-02-11	Europe	France	Île-de-France	A.27
hCoV-19/USA/WA-S5168/2021	betacoronavirus	EPI_ISL_1114325	2021-02-20	North America	USA	Washington	A.21
hCoV-19/USA/WA-S5066/2021	betacoronavirus	EPI_ISL_1114223	2021-02-07	North America	USA	Washington	A.2.5
hCoV-19/France/IDF-HMN-21022230167/2021	betacoronavirus	EPI_ISL_1110207	2021-02-17	Europe	France	Île-de-France	A.27
hCoV-19/France/IDF-IPP03825/2021	betacoronavirus	EPI_ISL_1118908	2021-02-05	Europe	France	Ile-de-France	A.27
hCoV-19/France/IDF-IPP03826/2021	betacoronavirus	EPI_ISL_1118909	2021-02-04	Europe	France	Ile-de-France	A.27
hCoV-19/France/IDF-IPP03823/2021	betacoronavirus	EPI_ISL_1118907	2021-02-06	Europe	France	Ile-de-France	A.27
hCoV-19/France/IDF-IPP03792/2021	betacoronavirus	EPI_ISL_1118904	2021-02-04	Europe	France	Ile-de-France	A.27
hCoV-19/France/IDF-IPP03793/2021	betacoronavirus	EPI_ISL_1118905	2021-02-02	Europe	France	Ile-de-France	A.27
hCoV-19/France/IDF-IPP03791/2021	betacoronavirus	EPI_ISL_1118903	2021-02-02	Europe	France	Ile-de-France	A.27
hCoV-19/Slovenia/75526/2021	betacoronavirus	EPI_ISL_1118863	2021-02-11	Europe	Slovenia	NA	A.27
hCoV-19/Slovenia/73271/2021	betacoronavirus	EPI_ISL_1118864	2021-02-10	Europe	Slovenia	NA	A.27
hCoV-19/France/IDF-IPP03715/2021	betacoronavirus	EPI_ISL_1118898	2021-02-09	Europe	France	Ile-de-France	A.27
hCoV-19/France/IDF-IPP03716/2021	betacoronavirus	EPI_ISL_1118899	2021-02-10	Europe	France	Ile-de-France	A.27
hCoV-19/USA/MA-MGH-04099/2021	betacoronavirus	EPI_ISL_1121797	2021-02-05	North America	USA	Massachusetts	A.23.1
hCoV-19/USA/MA-MGH-04065/2021	betacoronavirus	EPI_ISL_1121780	2021-01-30	North America	USA	Massachusetts	A.2.5
hCoV-19/Germany/BW-RKI-I-028343/2021	betacoronavirus	EPI_ISL_1211374	2021-02-15	Europe	Germany	Baden-Wurttemberg	A
hCoV-19/Switzerland/SG-ETHZ-460721/2021	betacoronavirus	EPI_ISL_1130199	2021-01-15	Europe	Switzerland	St Gall	A.27
hCoV-19/Switzerland/SG-ETHZ-451760/2021	betacoronavirus	EPI_ISL_1130204	2021-01-14	Europe	Switzerland	St Gall	A
hCoV-19/Switzerland/SG-ETHZ-451540/2021	betacoronavirus	EPI_ISL_1130202	2021-01-12	Europe	Switzerland	St Gall	A.27
hCoV-19/Switzerland/ZH-ETHZ-490357/2021	betacoronavirus	EPI_ISL_1131089	2021-02-05	Europe	Switzerland	Zurich	A
hCoV-19/USA/FL-BPHL-0704/2021	betacoronavirus	EPI_ISL_1132265	2021-02-15	North America	USA	Florida	A.2.5
hCoV-19/USA/FL-BPHL-0626/2021	betacoronavirus	EPI_ISL_1132251	2021-01-27	North America	USA	Florida	A.2.5
hCoV-19/USA/FL-BPHL-0712/2021	betacoronavirus	EPI_ISL_1132280	2021-02-15	North America	USA	Florida	A.2.5
hCoV-19/USA/FL-BPHL-0699/2021	betacoronavirus	EPI_ISL_1132279	2021-02-13	North America	USA	Florida	A.2.5
hCoV-19/Turkey/HSGM-5628/2021	betacoronavirus	EPI_ISL_1213956	2021-02-23	Europe	Turkey	NA	A.28
hCoV-19/Germany/BW-RKI-I-011073/2021	betacoronavirus	EPI_ISL_1141201	2021-01-11	Europe	Germany	Baden-Wurttemberg	A.28
hCoV-19/Germany/HB-RKI-I-012693/2021	betacoronavirus	EPI_ISL_1142826	2021-01-23	Europe	Germany	Bremen	A.2.5.2
hCoV-19/Germany/NW-RKI-I-013749/2021	betacoronavirus	EPI_ISL_1143885	2021-01-20	Europe	Germany	North Rhine-Westphalia	A
hCoV-19/Germany/HE-RKI-I-022348/2021	betacoronavirus	EPI_ISL_1152514	2021-02-16	Europe	Germany	Hesse	A.27
hCoV-19/USA/NY-CDC-LC0014136/2021	betacoronavirus	EPI_ISL_1161778	2021-02-09	North America	USA	New York	A.21
hCoV-19/USA/GA-CDC-LC0015683/2021	betacoronavirus	EPI_ISL_1161747	2021-02-10	North America	USA	Georgia	A.21
hCoV-19/USA/NM-CDC-LC0014159/2021	betacoronavirus	EPI_ISL_1161651	2021-02-09	North America	USA	New Mexico	A.2.5
hCoV-19/USA/NH-CDC-LC0017226/2021	betacoronavirus	EPI_ISL_1160821	2021-02-12	North America	USA	New Hampshire	A.23.1
hCoV-19/USA/NJ-CDC-LC0016499/2021	betacoronavirus	EPI_ISL_1162969	2021-02-09	North America	USA	New Jersey	A.2.5
hCoV-19/USA/FL-CDC-LC0015155/2021	betacoronavirus	EPI_ISL_1162970	2021-02-09	North America	USA	Florida	A.2.5
hCoV-19/Italy/CAM-AMES_20_6/2021	betacoronavirus	EPI_ISL_1166363	2021-02-24	Europe	Italy	Campania	A.2.5.2
hCoV-19/Italy/CAM-AMES-24-83/2021	betacoronavirus	EPI_ISL_1167318	2021-02-25	Europe	Italy	Campania	A.2.5.2
hCoV-19/Portugal/PT2977/2021	betacoronavirus	EPI_ISL_1164271	2021-01-07	Europe	Portugal	NA	A.2.5
hCoV-19/Portugal/PT2984/2021	betacoronavirus	EPI_ISL_1164278	2021-01-08	Europe	Portugal	NA	A.2.5
hCoV-19/Netherlands/UT-RIVM-14591/2021	betacoronavirus	EPI_ISL_1165646	2021-02-12	Europe	Netherlands	Utrecht	A.23.1
hCoV-19/Portugal/PT3057/2021	betacoronavirus	EPI_ISL_1164349	2021-01-08	Europe	Portugal	NA	A.2.5
hCoV-19/USA/MD-MDH-1138/2021	betacoronavirus	EPI_ISL_1167284	2021-02-16	North America	USA	Maryland	A.2.5
hCoV-19/Canada/NB-NML-16171/2021	betacoronavirus	EPI_ISL_1164961	2021-01-26	North America	Canada	New Brunswick	A.23.1
hCoV-19/Canada/NB-NML-16186/2021	betacoronavirus	EPI_ISL_1164968	2021-01-30	North America	Canada	New Brunswick	A.23.1
hCoV-19/USA/ME-HETL-J1839/2021	betacoronavirus	EPI_ISL_1163650	2021-02-25	North America	USA	Maine	A.23.1
hCoV-19/USA/NY-PRL-2021_03_01_00K22/2021	betacoronavirus	EPI_ISL_1172495	2021-02-27	North America	USA	New York	A.2.5
hCoV-19/USA/NY-PRL-2021_03_01_00K23/2021	betacoronavirus	EPI_ISL_1172496	2021-02-27	North America	USA	New York	A.2.5
hCoV-19/USA/MD-HP02782/2021	betacoronavirus	EPI_ISL_1171850	2021-01-29	North America	USA	Maryland	A.2.5
hCoV-19/USA/MD-HP02641/2021	betacoronavirus	EPI_ISL_1171781	2021-02-17	North America	USA	Maryland	A.2.5
hCoV-19/Italy/CAM-AMES-23-39/2021	betacoronavirus	EPI_ISL_1167535	2021-02-25	Europe	Italy	Campania	A.2.5.2
hCoV-19/Belgium/ULG-12787/2021	betacoronavirus	EPI_ISL_1171547	2021-02-24	Europe	Belgium	Flemish-Brabant	A.27
hCoV-19/Portugal/PT3343/2021	betacoronavirus	EPI_ISL_1170223	2021-02-08	Europe	Portugal	NA	A.21
hCoV-19/Italy/CAM-AMES-24-84/2021	betacoronavirus	EPI_ISL_1167337	2021-02-25	Europe	Italy	Campania	A.2.5.2
hCoV-19/Italy/CAM-AMES-26-73/2021	betacoronavirus	EPI_ISL_1169191	2021-02-27	Europe	Italy	Campania	A.2.5.2
hCoV-19/Portugal/PT3367/2021	betacoronavirus	EPI_ISL_1170179	2021-02-11	Europe	Portugal	NA	A.21
hCoV-19/Portugal/PT3365/2021	betacoronavirus	EPI_ISL_1170177	2021-02-11	Europe	Portugal	NA	A.21
hCoV-19/Spain/CT-HUVH-96534/2021	betacoronavirus	EPI_ISL_1169877	2021-02-23	Europe	Spain	Catalunya	A.21
hCoV-19/Italy/CAM-AMES-29-46/2021	betacoronavirus	EPI_ISL_1169099	2021-02-28	Europe	Italy	Campania	A.2.5.2
hCoV-19/Italy/CAM-AMES-26-72/2021	betacoronavirus	EPI_ISL_1169094	2021-02-27	Europe	Italy	Campania	A.2.5.2
hCoV-19/USA/NY-PRL-2021_03_03_00A02/2021	betacoronavirus	EPI_ISL_1172961	2021-03-01	North America	USA	New York	A.2.5
hCoV-19/Nigeria/CV816/2021	betacoronavirus	EPI_ISL_1173243	2021-01-22	Africa	Nigeria	Osun State	A
hCoV-19/England/CAMC-1314A6F/2021	betacoronavirus	EPI_ISL_1175013	2021-02-23	Europe	United Kingdom	England	A.2.5
hCoV-19/Ireland/CN-NVRL-21IRL42562/2021	betacoronavirus	EPI_ISL_1181883	2021-02-13	Europe	Ireland	Cavan	A.27
hCoV-19/Slovenia/76280/2021	betacoronavirus	EPI_ISL_1181861	2021-02-11	Europe	Slovenia	NA	A.27
hCoV-19/Slovenia/75819/2021	betacoronavirus	EPI_ISL_1181856	2021-02-11	Europe	Slovenia	NA	A.27
hCoV-19/Scotland/EDB16114/2021	betacoronavirus	EPI_ISL_1177748	2021-02-07	Europe	United Kingdom	Scotland	A.23.1
hCoV-19/Ireland/D-NVRL-21IRL43705/2021	betacoronavirus	EPI_ISL_1180347	2021-02-22	Europe	Ireland	Dublin	A.29
hCoV-19/Ireland/D-NVRL-21IRL43704/2021	betacoronavirus	EPI_ISL_1180345	2021-02-22	Europe	Ireland	Dublin	A.29
hCoV-19/Norway/4474/2021	betacoronavirus	EPI_ISL_1186134	2021-02-19	Europe	Norway	Viken	A.29
hCoV-19/USA/FL-BPHL-0848/2021	betacoronavirus	EPI_ISL_1191584	2021-02-19	North America	USA	Florida	A.2.5
hCoV-19/Mauritius/N2023/2021	betacoronavirus	EPI_ISL_1191599	2021-01-13	Africa	Mauritius	Plaine-Wilhems	A.23.1
hCoV-19/Norway/2963/2021	betacoronavirus	EPI_ISL_1192316	2021-02-01	Europe	Norway	Viken	A
hCoV-19/USA/TX-HHD-4530679/2021	betacoronavirus	EPI_ISL_1195906	2021-02-10	North America	USA	Texas	A.2.5
hCoV-19/CostaRica/INC-0295/2021	betacoronavirus	EPI_ISL_1196438	2021-02-16	Caribbean	Costa Rica	San Jose	A.2.5.1
hCoV-19/Switzerland/VD-ETHZ-510441/2021	betacoronavirus	EPI_ISL_1195116	2021-02-22	Europe	Switzerland	Vaud	A.27
hCoV-19/CostaRica/INC-0278/2021	betacoronavirus	EPI_ISL_1196421	2021-02-09	Caribbean	Costa Rica	Puntarenas	A.2.5.1
hCoV-19/Ireland/MN-NVRL-ec21IRL29683/2021	betacoronavirus	EPI_ISL_1196488	2021-02-15	Europe	Ireland	Monaghan	A
hCoV-19/Spain/CT-IBV-98016391/2021	betacoronavirus	EPI_ISL_1194514	2021-01-22	Europe	Spain	Catalunya	A.21
hCoV-19/Spain/CT-HUVH-87661/2021	betacoronavirus	EPI_ISL_1195232	2021-02-17	Europe	Spain	Catalunya	A.2
hCoV-19/CostaRica/INC-0246/2021	betacoronavirus	EPI_ISL_1201437	2021-01-22	Caribbean	Costa Rica	Puntarenas	A.2.4
hCoV-19/Sweden/SE00181678/2021	betacoronavirus	EPI_ISL_1200114	2021-01-25	Europe	Sweden	Gavleborg	A.23.1
hCoV-19/Sweden/SE00194063/2021	betacoronavirus	EPI_ISL_1200082	2021-01-28	Europe	Sweden	Gavleborg	A.23.1
hCoV-19/Sweden/SE00193682/2021	betacoronavirus	EPI_ISL_1200084	2021-01-27	Europe	Sweden	Gavleborg	A.23.1
hCoV-19/USA/NY-NYCPHL-003667/2021	betacoronavirus	EPI_ISL_1200557	2021-03-02	North America	USA	New York	A.2.5
hCoV-19/France/PAC-IHU-3446-2/2021	betacoronavirus	EPI_ISL_1201046	2021-02-09	Europe	France	Marseille	A.27
hCoV-19/Sweden/SE00199025/2021	betacoronavirus	EPI_ISL_1199985	2021-01-29	Europe	Sweden	Gavleborg	A.23.1
hCoV-19/Sweden/SE00202743/2021	betacoronavirus	EPI_ISL_1198688	2021-02-01	Europe	Sweden	Gavleborg	A.23.1
hCoV-19/USA/WA-UW-61261/2021	betacoronavirus	EPI_ISL_1209182	2021-02-02	North America	USA	Washington	A.2.5
hCoV-19/Tunisia/Q6575/2021	betacoronavirus	EPI_ISL_1207287	2021-02-07	Africa	Tunisia	Tunis	A.27
hCoV-19/Tunisia/14670/2021	betacoronavirus	EPI_ISL_1208403	2021-02-09	Africa	Tunisia	Sousse	A.27
hCoV-19/Tunisia/5509/2021	betacoronavirus	EPI_ISL_1208398	2021-02-02	Africa	Tunisia	Tunis	A.27
hCoV-19/Tunisia/20216575/2021	betacoronavirus	EPI_ISL_1208160	2021-02-07	Africa	Tunisia	Tunis	A.27
hCoV-19/Turkey/HSGM-5913/2021	betacoronavirus	EPI_ISL_1211632	2021-02-24	Europe	Turkey	NA	A.28
hCoV-19/Turkey/HSGM-5911/2021	betacoronavirus	EPI_ISL_1211634	2021-02-24	Europe	Turkey	NA	A.28
hCoV-19/Turkey/HSGM-5873/2021	betacoronavirus	EPI_ISL_1211639	2021-02-24	Europe	Turkey	NA	A.28
hCoV-19/Turkey/HSGM-5627/2021	betacoronavirus	EPI_ISL_1213951	2021-02-23	Europe	Turkey	NA	A.28
hCoV-19/Turkey/HSGM-5625/2021	betacoronavirus	EPI_ISL_1213949	2021-02-23	Europe	Turkey	NA	A.28
hCoV-19/Germany/BW-RKI-I-028074/2021	betacoronavirus	EPI_ISL_1211105	2021-02-18	Europe	Germany	Baden-Wurttemberg	A
hCoV-19/USA/MA-CDC-QDX22285140/2021	betacoronavirus	EPI_ISL_1220588	2021-02-21	North America	USA	Massachusetts	A.23.1
hCoV-19/USA/FL-BPHL-1186/2021	betacoronavirus	EPI_ISL_1218984	2021-02-24	North America	USA	Florida	A.2.5
hCoV-19/Latvia/394/2021	betacoronavirus	EPI_ISL_1219217	2021-02-02	Europe	Latvia	NA	A.23.1
hCoV-19/USA/FL-BPHL-1037/2021	betacoronavirus	EPI_ISL_1218839	2021-02-15	North America	USA	Florida	A.2.5
hCoV-19/USA/AZ-CDC-LC0019452/2021	betacoronavirus	EPI_ISL_1220995	2021-02-19	North America	USA	Arizona	A.2.5
hCoV-19/USA/FL-CDC-LC0021082/2021	betacoronavirus	EPI_ISL_1222352	2021-02-26	North America	USA	Florida	A.2.5
hCoV-19/Italy/TUS-AOUP-BELS/2021	betacoronavirus	EPI_ISL_1224990	2021-02-13	Europe	Italy	Tuscany	A.23.1
hCoV-19/Italy/CAM-AMES_35_23/2021	betacoronavirus	EPI_ISL_1229623	2021-03-02	Europe	Italy	Campania	A.2.5.2
hCoV-19/USA/CA-RD625-CV0012/2021	betacoronavirus	EPI_ISL_1231888	2021-03-01	North America	USA	California	A.2.5
hCoV-19/USA/CA-RD630-CV0046/2021	betacoronavirus	EPI_ISL_1231810	2021-03-04	North America	USA	California	A.2.5
hCoV-19/USA/TX-HMH-MCoV-26595/2021	betacoronavirus	EPI_ISL_1236375	2021-02-28	North America	USA	Texas	A.2.5
hCoV-19/USA/FL-BPHL-1311/2021	betacoronavirus	EPI_ISL_1239973	2021-01-29	North America	USA	Florida	A.2.5
hCoV-19/USA/FL-BPHL-1310/2021	betacoronavirus	EPI_ISL_1239972	2021-01-29	North America	USA	Florida	A.2.5
hCoV-19/USA/MD-HP03106/2021	betacoronavirus	EPI_ISL_1238946	2021-03-04	North America	USA	Maryland	A.2.5
hCoV-19/France/PDL-IPP04588/2021	betacoronavirus	EPI_ISL_1239371	2021-03-02	Europe	France	Pays de la Loire	A.27
hCoV-19/France/ARA-HCL021030777001/2021	betacoronavirus	EPI_ISL_1239446	2021-02-16	Europe	France	Auvergne-Rhone-Alpes	A.27
hCoV-19/France/NAQ-HCL021031659201/2021	betacoronavirus	EPI_ISL_1239447	2021-02-09	Europe	France	Nouvelle-Aquitaine	A.27
hCoV-19/Slovenia/81717/2021	betacoronavirus	EPI_ISL_1250645	2021-02-15	Europe	Slovenia	NA	A.27
hCoV-19/Slovenia/91878/2021	betacoronavirus	EPI_ISL_1250667	2021-02-19	Europe	Slovenia	NA	A.27
hCoV-19/Slovenia/90716/2021	betacoronavirus	EPI_ISL_1250678	2021-02-19	Europe	Slovenia	NA	A.27
hCoV-19/Slovenia/92278/2021	betacoronavirus	EPI_ISL_1250681	2021-02-20	Europe	Slovenia	NA	A.27
hCoV-19/France/ARA-HCL021030056501/2021	betacoronavirus	EPI_ISL_1253544	2021-02-02	Europe	France	Auvergne-Rhone-Alpes	A.27
hCoV-19/France/ARA-HCL021029940001/2021	betacoronavirus	EPI_ISL_1253549	2021-02-02	Europe	France	Auvergne-Rhone-Alpes	A.27
hCoV-19/Italy/APU-IZSPB-794PT/2021	betacoronavirus	EPI_ISL_1254657	2021-02-05	Europe	Italy	Apulia	A.28
hCoV-19/Norway/0065/2021	betacoronavirus	EPI_ISL_1251462	2021-01-03	Europe	Norway	Oslo	A
hCoV-19/USA/WI-UW-3779/2021	betacoronavirus	EPI_ISL_1252569	2021-03-01	North America	USA	Wisconsin	A.2.5
hCoV-19/Slovenia/87822/2021	betacoronavirus	EPI_ISL_1250657	2021-02-18	Europe	Slovenia	NA	A.27
hCoV-19/France/ARA-HCL021032811101/2021	betacoronavirus	EPI_ISL_1253552	2021-02-15	Europe	France	Auvergne-Rhone-Alpes	A.27
hCoV-19/France/ARA-HCL021032822801/2021	betacoronavirus	EPI_ISL_1253554	2021-02-16	Europe	France	Auvergne-Rhone-Alpes	A.27
hCoV-19/France/ARA-HCL021032818501/2021	betacoronavirus	EPI_ISL_1253553	2021-02-16	Europe	France	Auvergne-Rhone-Alpes	A.27
hCoV-19/France/ARA-HCL021039655401/2021	betacoronavirus	EPI_ISL_1253567	2021-03-02	Europe	France	Auvergne-Rhone-Alpes	A.27
hCoV-19/France/ARA-HCL021039976101/2021	betacoronavirus	EPI_ISL_1253568	2021-02-23	Europe	France	Auvergne-Rhone-Alpes	A.27
hCoV-19/France/ARA-HCL021040967501/2021	betacoronavirus	EPI_ISL_1253577	2021-02-24	Europe	France	Auvergne-Rhone-Alpes	A.27
hCoV-19/France/ARA-HCL021040209401/2021	betacoronavirus	EPI_ISL_1253574	2021-02-26	Europe	France	Auvergne-Rhone-Alpes	A.27
hCoV-19/France/ARA-HCL021040004101/2021	betacoronavirus	EPI_ISL_1253573	2021-02-22	Europe	France	Auvergne-Rhone-Alpes	A.27
hCoV-19/Canada/MB-NML-16699/2021	betacoronavirus	EPI_ISL_1258384	2021-01-19	North America	Canada	Manitoba	A.23.1
hCoV-19/Indonesia/KS-NIHRD-WGS00922/2021	betacoronavirus	EPI_ISL_1257854	2021-01-22	Asia	Indonesia	South Kalimantan	A.23.1
hCoV-19/England/CAMC-1380EDB/2021	betacoronavirus	EPI_ISL_1256387	2021-02-28	Europe	United Kingdom	England	A.23.1
hCoV-19/Switzerland/SG-ETHZ-461186/2021	betacoronavirus	EPI_ISL_1259431	2021-01-20	Europe	Switzerland	St Gall	A.27
hCoV-19/France/PDL-IPP04258/2021	betacoronavirus	EPI_ISL_1259300	2021-02-15	Europe	France	Pays de la Loire	A.27
hCoV-19/France/IDF-IPP04279/2021	betacoronavirus	EPI_ISL_1259302	2021-02-15	Europe	France	Ile-de-France	A.27
hCoV-19/Mayotte/IPP02316/2021	betacoronavirus	EPI_ISL_1259284	2021-01-18	Africa	Mayotte	Mamoudzou	A.27
hCoV-19/France/PDL-IPP04256/2021	betacoronavirus	EPI_ISL_1259298	2021-02-17	Europe	France	Pays de la Loire	A.27
hCoV-19/France/PDL-IPP04257/2021	betacoronavirus	EPI_ISL_1259299	2021-02-12	Europe	France	Pays de la Loire	A.27
hCoV-19/Mayotte/IPP03013/2021	betacoronavirus	EPI_ISL_1259293	2021-01-26	Africa	Mayotte	Mamoudzou	A.27
hCoV-19/USA/NY-PRL-03_08_00P11/2021	betacoronavirus	EPI_ISL_1258689	2021-03-06	North America	USA	New York	A.2.5
hCoV-19/Indonesia/SU-NIHRD-WGS01094/2021	betacoronavirus	EPI_ISL_1265273	2021-01-28	Asia	Indonesia	North Sumatra	A.23.1
hCoV-19/USA/WA-PHL-000095/2021	betacoronavirus	EPI_ISL_1263352	2021-03-02	North America	USA	Washington	A.21
hCoV-19/France/HDF-IPP04534/2021	betacoronavirus	EPI_ISL_1262744	2021-02-20	Europe	France	Hauts-de-France	A.28
hCoV-19/France/HDF-IPP04532/2021	betacoronavirus	EPI_ISL_1262742	2021-02-17	Europe	France	Hauts-de-France	A.28
hCoV-19/France/HDF-IPP04528/2021	betacoronavirus	EPI_ISL_1262740	2021-02-16	Europe	France	Hauts-de-France	A.28
hCoV-19/USA/FL-CDC-STM-000016607/2021	betacoronavirus	EPI_ISL_1268439	2021-02-16	North America	USA	Florida	A.2.5
